SYMBOL	ENSEMBL_ID	CHROM	START	END	STRAND	MANE_SELECT_TX	MANE_PLUS_CLINICAL	ALL_PC_TXs
TCF20	ENSG00000100207	22	42160013	42343616	-1	ENST00000677622	set()	{'ENST00000404876', 'ENST00000675876', 'ENST00000683686', 'ENST00000359486', 'ENST00000515426', 'ENST00000335626', 'ENST00000677622'}
TCF4	ENSG00000196628	18	55222185	55664787	-1	ENST00000354452	set()	{'ENST00000636822', 'ENST00000566279', 'ENST00000562030', 'ENST00000590810', 'ENST00000457482', 'ENST00000630319', 'ENST00000568147', 'ENST00000626631', 'ENST00000565908', 'ENST00000562543', 'ENST00000570146', 'ENST00000628078', 'ENST00000564228', 'ENST00000568186', 'ENST00000543082', 'ENST00000544241', 'ENST00000630828', 'ENST00000561831', 'ENST00000564403', 'ENST00000616053', 'ENST00000626584', 'ENST00000627784', 'ENST00000570177', 'ENST00000568673', 'ENST00000636400', 'ENST00000567880', 'ENST00000675707', 'ENST00000568740', 'ENST00000625925', 'ENST00000562847', 'ENST00000563824', 'ENST00000540999', 'ENST00000630720', 'ENST00000562607', 'ENST00000565124', 'ENST00000570287', 'ENST00000637169', 'ENST00000566777', 'ENST00000562638', 'ENST00000564343', 'ENST00000537856', 'ENST00000537578', 'ENST00000564999', 'ENST00000638154', 'ENST00000629343', 'ENST00000566514', 'ENST00000356073', 'ENST00000569012', 'ENST00000628636', 'ENST00000630268', 'ENST00000398339', 'ENST00000630712', 'ENST00000568169', 'ENST00000563888', 'ENST00000566286', 'ENST00000561992', 'ENST00000635822', 'ENST00000626595', 'ENST00000627685', 'ENST00000626425', 'ENST00000565018', 'ENST00000643689', 'ENST00000629387', 'ENST00000354452'}
TCOF1	ENSG00000070814	5	150357629	150400308	1	ENST00000643257	set()	{'ENST00000445265', 'ENST00000439160', 'ENST00000504761', 'ENST00000323668', 'ENST00000650162', 'ENST00000646961', 'ENST00000515516', 'ENST00000643257', 'ENST00000674413', 'ENST00000427724', 'ENST00000513538', 'ENST00000394269', 'ENST00000513346', 'ENST00000377797'}
TFAP2B	ENSG00000008196	6	50818723	50847619	1	ENST00000393655	set()	{'ENST00000344788', 'ENST00000393655'}
TGIF1	ENSG00000177426	18	3411608	3459978	1	ENST00000343820	set()	{'ENST00000551541', 'ENST00000472042', 'ENST00000552383', 'ENST00000401449', 'ENST00000330513', 'ENST00000551333', 'ENST00000400167', 'ENST00000407501', 'ENST00000551402', 'ENST00000345133', 'ENST00000549780', 'ENST00000548489', 'ENST00000546979', 'ENST00000550958', 'ENST00000549468', 'ENST00000343820', 'ENST00000549546', 'ENST00000549253', 'ENST00000405385', 'ENST00000618001', 'ENST00000577543'}
TP53	ENSG00000141510	17	7661779	7687538	-1	ENST00000269305	set()	{'ENST00000359597', 'ENST00000620739', 'ENST00000510385', 'ENST00000610538', 'ENST00000508793', 'ENST00000622645', 'ENST00000576024', 'ENST00000503591', 'ENST00000604348', 'ENST00000619186', 'ENST00000610623', 'ENST00000619485', 'ENST00000509690', 'ENST00000455263', 'ENST00000504290', 'ENST00000445888', 'ENST00000420246', 'ENST00000504937', 'ENST00000618944', 'ENST00000610292', 'ENST00000269305', 'ENST00000514944', 'ENST00000413465'}
TRPS1	ENSG00000104447	8	115408496	115809673	-1	ENST00000395715	set()	{'ENST00000519815', 'ENST00000518018', 'ENST00000422939', 'ENST00000451156', 'ENST00000519674', 'ENST00000520276', 'ENST00000395713', 'ENST00000640765', 'ENST00000519076', 'ENST00000517323', 'ENST00000220888', 'ENST00000395715'}
TSC1	ENSG00000165699	9	132891348	132946874	-1	ENST00000298552	set()	{'ENST00000646625', 'ENST00000642646', 'ENST00000545250', 'ENST00000298552', 'ENST00000647462', 'ENST00000475903', 'ENST00000643362', 'ENST00000642617', 'ENST00000642745', 'ENST00000646440', 'ENST00000403810', 'ENST00000647078', 'ENST00000644097', 'ENST00000645150', 'ENST00000643691', 'ENST00000644184', 'ENST00000643583', 'ENST00000643072', 'ENST00000643875', 'ENST00000490179', 'ENST00000645129', 'ENST00000642627', 'ENST00000440111'}
TSC2	ENSG00000103197	16	2047967	2089491	1	ENST00000219476	set()	{'ENST00000644329', 'ENST00000644335', 'ENST00000645186', 'ENST00000643946', 'ENST00000642936', 'ENST00000382538', 'ENST00000642365', 'ENST00000219476', 'ENST00000350773', 'ENST00000642797', 'ENST00000568454', 'ENST00000642206', 'ENST00000644043', 'ENST00000646388', 'ENST00000432909', 'ENST00000401874', 'ENST00000644399', 'ENST00000643088', 'ENST00000439673', 'ENST00000642561'}
TWIST1	ENSG00000122691	7	19020991	19117636	-1	ENST00000242261	set()	{'ENST00000242261'}
UBE3A	ENSG00000114062	15	25333728	25439051	-1	ENST00000648336	set()	{'ENST00000638011', 'ENST00000630424', 'ENST00000628267', 'ENST00000604860', 'ENST00000625778', 'ENST00000628890', 'ENST00000650110', 'ENST00000428984', 'ENST00000566215', 'ENST00000675177', 'ENST00000625681', 'ENST00000637886', 'ENST00000649550', 'ENST00000635914', 'ENST00000438097', 'ENST00000636667', 'ENST00000628733', 'ENST00000629252', 'ENST00000626176', 'ENST00000626589', 'ENST00000629886', 'ENST00000648336', 'ENST00000630907', 'ENST00000638155'}
WDR26	ENSG00000162923	1	224385146	224437033	-1	ENST00000414423	set()	{'ENST00000445239', 'ENST00000480676', 'ENST00000678307', 'ENST00000414423', 'ENST00000678555', 'ENST00000678879', 'ENST00000678917', 'ENST00000651911'}
WT1	ENSG00000184937	11	32387775	32435564	-1	ENST00000452863	set()	{'ENST00000332351', 'ENST00000530998', 'ENST00000448076', 'ENST00000527882', 'ENST00000639563', 'ENST00000640146', 'ENST00000452863', 'ENST00000379079'}
ZIC2	ENSG00000043355	13	99981784	99986765	1	ENST00000376335	set()	{'ENST00000376335'}
ZNF462	ENSG00000148143	9	106863166	107013634	1	ENST00000277225	set()	{'ENST00000472574', 'ENST00000277225', 'ENST00000374686', 'ENST00000427098', 'ENST00000441147'}
